orderid,userid,bikeid,biketype,starttime,geohashed_start_loc,geohashed_end_loc,start_x,start_y,end_x,end_y
1893973,451147,210617,2,2017年5月14日22时16分50秒,wx4snhx,wx4snhj,40.1035,116.29,40.1008,116.287
4657992,1061133,465394,1,2017年5月14日22时16分52秒,wx4dr59,wx4dquz,39.7904,116.325,39.7973,116.323
2965085,549189,310572,1,2017年5月14日22时16分51秒,wx4fgur,wx4fu5n,39.8824,116.542,39.8756,116.552
4548579,489720,456688,1,2017年5月14日22时16分51秒,wx4d5r5,wx4d5r4,39.7657,116.163,39.7657,116.162
3936364,467449,403224,1,2017年5月14日22时16分50秒,wx4g27p,wx4g266,39.9635,116.388,39.9593,116.382
5163705,917620,509044,1,2017年5月14日22时16分53秒,wx4gd2e,wx4g6pw,39.9937,116.471,39.9882,116.464
19818,583391,3190,1,2017年5月14日22时16分54秒,wx4fhkk,wx4fh7q,39.7506,116.56,39.7451,116.563
495333,185893,67441,1,2017年5月14日22时16分53秒,wx4emgw,wx4emgk,39.9662,116.277,39.9648,116.274
2803108,15906,295614,2,2017年5月14日22时16分55秒,wx4f8t9,wx4f8tj,39.8454,116.391,39.8426,116.397
271970,183740,38335,1,2017年5月14日22时16分54秒,wx4dzjf,wx4dzhn,39.8907,116.327,39.8811,116.332
289754,426024,40489,1,2017年5月14日22时16分56秒,wx4dy2p,wx4dwxv,39.8591,116.301,39.8577,116.309
1116773,342055,137447,2,2017年5月14日22时16分54秒,wx4f9mt,wx4f9k4,39.8454,116.43,39.8371,116.426
1983324,168457,218956,2,2017年5月14日22时16分56秒,wx4dwws,wx4dxnr,39.8508,116.307,39.8495,116.334
714809,559807,95403,1,2017年5月14日22时16分57秒,wx4g1zq,wx4g1yj,39.9429,116.453,39.936,116.452
1090816,195513,135060,2,2017年5月14日22时16分56秒,wx4g28s,wx4g23r,39.9497,116.395,39.9538,116.388
630132,655921,85075,1,2017年5月14日22时16分57秒,wx4g4bv,wx4g501,39.9072,116.496,39.903,116.501
2956503,811790,309751,1,2017年5月14日22时16分58秒,wx4fcw2,wx4fct6,39.8934,116.434,39.8879,116.437
320760,356302,44503,1,2017年5月14日22时16分59秒,wx4dkpw,wx4dknu,39.8124,116.2,39.8083,116.198
1119812,72084,137713,2,2017年5月14日22时16分58秒,wx4f6s6,wx4f6s1,39.7945,116.48,39.7932,116.479
3484200,196465,359597,1,2017年5月14日22时17分00秒,wx4ejcv,wx4ejb2,39.9126,116.276,39.9044,116.269
187632,25054,26566,1,2017年5月14日22时16分59秒,wx4fzre,wx4fzrd,39.9003,116.691,39.9003,116.689
1709501,990289,193073,2,2017年5月14日22时17分00秒,wx4f9ms,wx4f9mk,39.8454,116.428,39.844,116.428
1745122,647684,196465,2,2017年5月14日22时17分00秒,wx4g323,wx4g328,39.9483,116.424,39.9497,116.423
3454200,81735,356681,1,2017年5月14日22时17分01秒,wx4g15v,wx4g1ej,39.9236,116.419,39.9195,116.441
4664798,990515,466001,1,2017年5月14日22时17分00秒,wx4g5z0,wx4g5vg,39.9415,116.533,39.9346,116.537
